family,template_id,template_name,version_number,status_text,active,selected_at_capture,source_capture_state,source_artifact_path
Label_Templates,30,Equipment Calibration,2,2 - Test - DRAFT,false,true,sanitized_visible_editor_html,QBench/Rescans/2026-08-16/Templates/Label_Templates/30/versions/2/body.html
Label_Templates,30,Equipment Calibration,1,1 - DRAFT,false,false,not_captured,
Label_Templates,32,Sample Intake Sample Label,5,5 - Test - DRAFT,false,true,sanitized_visible_editor_html,QBench/Rescans/2026-08-16/Templates/Label_Templates/32/versions/5/body.html
Label_Templates,32,Sample Intake Sample Label,4,4 - APPROVED (ACTIVE),true,false,unavailable_after_read_only_version_selection,
Label_Templates,32,Sample Intake Sample Label,3,3 - REJECTED,false,false,not_captured,
Label_Templates,32,Sample Intake Sample Label,2,2 - APPROVED,false,false,not_captured,
Label_Templates,32,Sample Intake Sample Label,1,1 - REJECTED,false,false,not_captured,
Label_Templates,33,Sample Assay Labels,3,3 - Test - DRAFT,false,true,sanitized_visible_editor_html,QBench/Rescans/2026-08-16/Templates/Label_Templates/33/versions/3/body.html
Label_Templates,33,Sample Assay Labels,2,2 - APPROVED (ACTIVE),true,false,unavailable_after_read_only_version_selection,
Label_Templates,33,Sample Assay Labels,1,1 - APPROVED,false,false,not_captured,
Label_Templates,34,Location Label,4,4 - Location Test - DRAFT,false,true,sanitized_visible_editor_html,QBench/Rescans/2026-08-16/Templates/Label_Templates/34/versions/4/body.html
Label_Templates,34,Location Label,3,3 - APPROVED (ACTIVE),true,false,unavailable_after_read_only_version_selection,
Label_Templates,34,Location Label,2,2 - APPROVED,false,false,not_captured,
Label_Templates,34,Location Label,1,1 - APPROVED,false,false,not_captured,
Label_Templates,35,Batch Label (Barcode),3,3 - TEST - DRAFT,false,true,sanitized_visible_editor_html,QBench/Rescans/2026-08-16/Templates/Label_Templates/35/versions/3/body.html
Label_Templates,35,Batch Label (Barcode),2,2 - APPROVED (ACTIVE),true,false,unavailable_after_read_only_version_selection,
Label_Templates,35,Batch Label (Barcode),1,1 - DRAFT,false,false,not_captured,
