Object ID,Object class,Zone,Scenario B status,Qty,SmartDraw label,Vendor / model,Actual body W (in),Actual body D (in),Actual H (in),SmartDraw block W (in),SmartDraw block D (in),Planning envelope W (in),Planning envelope D (in),Support / furniture ID,Primary association / workflow,Electrical,Water / drain,Gas,Exhaust / ventilation,Preferred placement,Verification level,Source name,Source URL,Notes / constraints,Suggested SmartDraw layer,Floor area counted?,Body area (sq ft),Envelope area (sq ft),Counted floor footprint (sq ft),Block area (sq ft),Status key,Review flag
B-OPT-BAL03,Conditional equipment,Clean instrument,Conditional - do not place unless retained,1,LECO-QUOTED SARTORIUS ENTRIS II BALANCE,"Sartorius Entris II 124i, 120 g / 0.1 mg, LECO interface kit",,,,18,18,24,24,B-T-LECO01,Dedicated LECO sample weighing/interface if retained in purchase package,Confirm with LECO/Sartorius,None,None,Avoid drafts,On or immediately adjacent to the LECO bench,Procurement/interface decision required,User-supplied LECO quotation 144186-0,,The LECO quote includes this balance. Do not remove it from procurement or replace it with MA204-02 until LECO confirms compatibility and workflow requirements.,SCENARIO B - EQUIPMENT,No,,4.0,0,2.25,COND,
B-EQ-FAT06,Equipment,Solvent extraction,Required,1,CONVENTIONAL SOXHLET ASSEMBLY - POSITION COUNT VERIFY,"Conventional Soxhlet glassware, heating mantles, condensers and recovery",,,,72,24,96,36,B-HOOD-SOX01,ISO 6492 Procedure A crude fat/oil; gravimetry at BAL-02,Confirm mantle/heater circuits; workbook planning basis is typically 208-240 V,Cooling-water supply/return or recirculator and solvent-waste handling,None,Interlocked solvent fume hood/exhaust,"Near east utility spine, separated from furnace/heat and ignition sources",Provisional configuration block; extraction position count and hood design required,Scenario B workbook FAT-06 and site requirements,,Do not infer a six-position system from the label. The 72 x 24 inner block is only a planning placeholder inside the 96 x 36 hood.,SCENARIO B - EQUIPMENT,No,,24.0,0,12.0,REQ,
B-EQ-FIBER03,Equipment,Wet chemistry / fiber,Required,1,VELP FIWE 6 FIBER ANALYZER,VELP FIWE 6,29.5,15.4,24.4,30,16,48,30,B-T-FIBER01,ISO 6865 crude fiber and customer-agreed NDF/ADF workflow,Selected-voltage model; 1200 W,Cooling/reagent water and separate outlets/drain; branch from east utility hub,None,Acid/alkali handling; hood-adjacent siting helpful,Immediately adjacent to east-side plumbing/wash utility zone; direct path to oven/furnace/desiccators,OEM-verified body,VELP official FIWE technical data,https://www.velp.com/en-ww/fiwe-fiber-analyzers.aspx,"Use an open corrosion-resistant bench so tubing, drains and service access remain reachable.",SCENARIO B - EQUIPMENT,No,3.15,10.0,0,3.33,REQ,
B-EQ-AA02,Equipment,Clean instrument,Required,1,SYKAM S 433 AMINO ACID SYSTEM - OEM FOOTPRINT VERIFY,Sykam S 433 Amino Acid Analyzer,,,,72,30,108,60,B-T-SYKAM01,Amino acid profile; prepared hydrolysates from AA prep,120 V or 208-240 V by configured modules; UPS recommended,DI water nearby helpful; confirm direct connections,Nitrogen applies primarily to evaporation prep if used,Clean instrument HVAC; keep separate from dust,Protected clean instrument zone with reagent/buffer access and network/data,Provisional modular system block; obtain configured OEM site plan,Sykam official S 433 page + Scenario B workbook,https://sykam.com/product/amino-acid-analyzers/s-433-amino-acid-analyzer/,The complete system is modular. Do not replace the 72 x 30 planning block with an invented single-chassis footprint.,SCENARIO B - EQUIPMENT,No,,45.0,0,15.0,REQ,
B-EQ-AAPREP01,Equipment,Wet chemistry / acid prep,Required,1,AMINO ACID HYDROLYSIS / EVAPORATION PREP,"Dedicated vessels, nitrogen evaporator and hydrolysis block; Multiwave remains existing",,,,60,24,72,36,B-HOOD-AA01,Acid/alkaline hydrolysis and evaporation before Sykam analysis,120 V/208-240 V by selected evaporator/block,Sink access and chemical-resistant waste handling,Nitrogen for evaporator; inert gas if method requires,Dedicated acid fume hood strongly recommended,"At east utility spine, separated from clean analyzer and incompatible solvent/heat hazards",Provisional combined block; selected models and vessel sets required,Scenario B workbook AA-PREP-01 and site requirements,,Existing Multiwave 5000 remains in the existing laboratory and is not represented as a Room 114 equipment block.,SCENARIO B - EQUIPMENT,No,,18.0,0,10.0,REQ,
B-EQ-CALC01,Software / workflow,Distributed,Required - represented at computer stations,1,LIMS / REPORTING,Validated LIMS calculation/reporting configuration,,,,,,,,B-COMP-DK01 / 02 / 03,"Dry-matter basis, energy/equation reporting, result review and release",Uses computer stations and network/data,None,None,None,Represent at laptop docking stations; no separate analytical instrument block,Source-defined software function,Scenario B workbook CALC-01,,Do not create a separate floor-standing LIMS object.,SCENARIO B - EQUIPMENT,No,,,0,,REQ,
B-T-PREP01,Furniture,Dirty / noisy prep,Required,1,72 x 36 OPEN HEAVY PREP BENCH - P19,"Uline-style phenolic lab workbench, open frame",,,,72,36,72,36,,Supports B-EQ-PREP01 and coarse sample staging,,,,,West/northwest; ceiling power/dust service preferred,Source-verified standard furniture module,Uline Lab Workbenches,https://www.uline.com/BL_3509/Lab-Workbenches,"Use open frame; do not add a cabinet that blocks mill accessories, dust tubing or service access.",SCENARIO B - FURNITURE,Yes,,18.0,18.0,18.0,REQ,
B-T-PREP02,Furniture,Dirty / noisy prep,Required,1,96 x 36 OPEN HEAVY PREP BENCH - CT293 + PT100,"Uline-style phenolic lab workbench, open frame",,,,96,36,96,36,,Supports B-EQ-PREP04 and B-EQ-PREP05 with transfer space,,,,,Immediately downstream of primary mill,Source-verified standard furniture module,Uline Lab Workbenches,https://www.uline.com/BL_3509/Lab-Workbenches,Keep each instrument separate on top of the bench; do not draw them as part of the table.,SCENARIO B - FURNITURE,Yes,,24.0,24.0,24.0,REQ,
B-T-PREP03,Furniture,Dirty / noisy prep,Required,1,48 x 30 BENCH - AS200,Uline-style phenolic lab workbench,,,,48,30,48,30,,Dedicated support for B-EQ-PREP07,,,,,Near divider and sieve storage; separated from balances,Source-verified standard furniture module,Uline Lab Workbenches,https://www.uline.com/BL_3509/Lab-Workbenches,A dedicated small table reduces vibration transfer to other prep equipment.,SCENARIO B - FURNITURE,Yes,,10.0,10.0,10.0,REQ,
B-STOR-PREP08,Storage,Dirty / noisy prep,Required,1,24 x 24 PROTECTED SIEVE CABINET / CART,Protected cabinet or cart - model to select,,,,24,24,24,24,,Stores working and reference sieve sets,,,,,Adjacent to AS200 but protected from damage/contamination,Planning allowance,Scenario B starter prompt,,Keep working and reference/backup sets separately identified.,SCENARIO B - FURNITURE,Yes,,4.0,4.0,4.0,REQ,REVIEW
B-FIX-WASH-ENV,Fixture,Wash / utility hub,Required,1,96 x 36 WASH-STATION PLANNING ENVELOPE,Purpose-built laboratory wash station - model/design to select,,,,96,36,96,72,,"Contains sink, wash surface, drying area and accessible branch/manifold zone",,Existing east-side plumbing/drain hub; exact services field verify,,,Centered on annotated east-side plumbing zone,Planning allowance - field/MEP design required,AIT annotated plan and user direction,,This parent envelope counts floor area. Child sink/surface/drying/manifold objects remain separate and do not add floor area.,SCENARIO B - FURNITURE,Yes,,48.0,24.0,24.0,REQ,REVIEW
B-FIX-SINK01,Fixture component,Wash / utility hub,Required,1,36 x 24 DEEP LAB SINK,Deep sink - final basin and material to select,,,,36,24,36,24,,"Washing glassware, crucibles and instrument accessories",,Hot/cold/DI services and drain type field verify,,,Inside B-FIX-WASH-ENV,Planning allowance,AIT user direction,,Do not present as a final fixture selection.,SCENARIO B - FURNITURE,No,,6.0,0,6.0,REQ,REVIEW
B-FIX-WASH01,Fixture component,Wash / utility hub,Required,1,36 x 30 WASH / RINSE WORK SURFACE,Chemical-resistant work surface,,,,36,30,36,30,,"Active wash, rinse and instrument-part staging",,,,,Inside B-FIX-WASH-ENV,Planning allowance,AIT user direction,,Keep independent from the sink block for later resizing.,SCENARIO B - FURNITURE,No,,7.5,0,7.5,REQ,REVIEW
B-FIX-DRY01,Fixture component,Wash / utility hub,Required,1,24 x 24 DRYING AREA / RACK,Benchtop or rack drying area - model to select,,,,24,24,24,24,,Drying washed glassware and accessories,,,,,Inside B-FIX-WASH-ENV,Planning allowance,AIT user direction,,Wall-mounted rack may be difficult on the east-core interface; keep as a movable planning object.,SCENARIO B - FURNITURE,No,,4.0,0,4.0,REQ,REVIEW
B-UTIL-MAN01,Utility component,Wash / utility hub,Required,1,18 x 12 ACCESSIBLE UTILITY MANIFOLD / BRANCH ZONE,"Valves, traps, branch points and future connections",,,,18,12,30,24,,Origin for future water/drain branches to nearby instruments,,"Existing rough-in; exact lines, sizes and compatibility field verify",,,Inside/behind B-FIX-WASH-ENV with permanent access,Field/MEP verify,AIT user direction,,Do not bury behind fixed full-depth cabinetry.,SCENARIO B - UTILITIES,No,,5.0,0,1.5,REQ,REVIEW
B-T-FIBER01,Furniture,Wet chemistry / fiber,Required,1,72 x 36 OPEN CORROSION-RESISTANT WET BENCH - FIWE,"Uline-style phenolic lab workbench, open frame",,,,72,36,72,36,,Supports B-EQ-FIBER03 and reagent handling,,Branch water/drain from east utility hub,,,Immediately adjacent to wash station,Source-verified module; final material compatibility verify,Uline Lab Workbenches,https://www.uline.com/BL_3509/Lab-Workbenches,"Open frame is preferred for hoses, drains and service access.",SCENARIO B - FURNITURE,Yes,,18.0,18.0,18.0,REQ,REVIEW
B-HOOD-SOX01,Fixture,Solvent extraction,Required,1,96 x 36 SOXHLET FUME-HOOD / SOLVENT WORK ENVELOPE,Purpose-built fume hood - model to select,,,,96,36,96,84,,Houses B-EQ-FAT06 and solvent recovery/handling,Final hood and heater circuits verify,Condenser water/return or recirculator; solvent waste,,Interlocked solvent exhaust,East/northeast utility side; separated from furnace/ignition sources,Planning allowance - hood selection and EHS/MEP design required,Scenario B workbook FAT-06,,The 84-in envelope includes a provisional 48-in operator/working zone in front. Do not use an ordinary Uline table as the hood.,SCENARIO B - FURNITURE,Yes,,56.0,24.0,24.0,REQ,REVIEW
B-STOR-FLAM01,Storage,Solvent extraction,Required,1,36 x 24 FLAMMABLES CABINET,Approved flammables cabinet - model/capacity to select,,,,36,24,48,36,,Solvent storage for conventional Soxhlet,,,,,Near but not obstructing hood; EHS/fire-code placement verify,Planning allowance,Scenario B site requirements,,Cabinet capacity and ventilation policy require EHS review.,SCENARIO B - FURNITURE,Yes,,12.0,6.0,6.0,REQ,REVIEW
B-WASTE-SOLV01,Waste zone,Solvent extraction,Required,1,24 x 24 SOLVENT-WASTE ZONE,Secondary-contained waste container zone,,,,24,24,36,36,,Soxhlet solvent waste and recovery handling,,,,,Near hood with safe access; final container and limits verify,Planning allowance,Scenario B site requirements,,Keep separated from heat and traffic; final EHS design controls.,SCENARIO B - FURNITURE,Yes,,9.0,4.0,4.0,REQ,REVIEW
B-HOOD-AA01,Fixture,Wet chemistry / acid prep,Required,1,72 x 36 AMINO-ACID ACID-PREP HOOD / WET-BENCH ENVELOPE,Purpose-built acid-resistant hood - model to select,,,,72,36,72,84,,Houses B-EQ-AAPREP01,Final evaporator/block circuits verify,Sink/waste connection or immediate access,Nitrogen for evaporator,Acid fume hood,East utility spine; keep separate from clean Sykam modules,Planning allowance - selected equipment and hood design required,Scenario B site requirements,,The 84-in envelope includes a provisional 48-in operator zone in front.,SCENARIO B - FURNITURE,Yes,,42.0,18.0,18.0,REQ,REVIEW
B-STOR-CORR01,Storage,Wet chemistry / acid prep,Required,1,36 x 24 CORROSIVES CABINET,Approved acid/base cabinet - model/capacity to select,,,,36,24,48,36,,"Acids/bases for phosphorus, starch, fiber and amino-acid prep",,,,,"Near wet/acid prep without blocking manifold, sink or hood access",Planning allowance,Scenario B site requirements,,Segregation and capacity require EHS review.,SCENARIO B - FURNITURE,Yes,,12.0,6.0,6.0,REQ,REVIEW
B-WASTE-CHEM01,Waste zone,Wet chemistry / acid prep,Required,1,24 x 24 CHEMICAL-WASTE ZONE,Secondary-contained compatible waste zone,,,,24,24,36,36,,Acid/base and amino-acid prep waste,,,,,Near hood/wash zone with accessible removal path,Planning allowance,Scenario B site requirements,,Waste compatibility and drain prohibition/allowance must be determined before construction.,SCENARIO B - FURNITURE,Yes,,9.0,4.0,4.0,REQ,REVIEW
B-T-THERM01,Furniture,Thermal / gravimetric,Required - location decision,1,36 x 30 HEAT-RATED STAND - OVEN,Purpose-built heat-rated equipment stand,,,,36,30,36,30,,Supports B-EQ-MOIST02A,,,,,Drying Room preferred if approved; otherwise thermal zone,Planning allowance - not an ordinary phenolic bench selection,Scenario B site requirements,,"Final heat rating, wall clearance and anchoring per OEM/MEP.",SCENARIO B - FURNITURE,Yes,,7.5,7.5,7.5,REQ,REVIEW
B-T-THERM02,Furniture,Thermal / gravimetric,Required - location decision,1,36 x 30 HEAT-RATED STAND - FURNACE,Purpose-built heat-rated equipment stand,,,,36,30,36,30,,Supports B-EQ-MOIST02B,,,,,Drying Room preferred if approved; otherwise thermal zone separated from solvents,Planning allowance - not an ordinary phenolic bench selection,Scenario B site requirements,,"Final heat rating, wall clearance and anchoring per OEM/MEP.",SCENARIO B - FURNITURE,Yes,,7.5,7.5,7.5,REQ,REVIEW
B-T-DES01,Furniture,Thermal / gravimetric,Required,1,60 x 30 DESICCATOR / COOLING BENCH,Uline-style phenolic lab workbench,,,,60,30,60,30,,Supports DES-01 and DES-02 plus tongs/hot-item landing area,,,,,"Between thermal equipment and BAL-01, but out of the heat plume",Source-verified standard furniture module,Uline Lab Workbenches,https://www.uline.com/BL_3509/Lab-Workbenches,Do not place BAL-01 on this same table.,SCENARIO B - FURNITURE,Yes,,12.5,12.5,12.5,REQ,
B-T-BAL01,Furniture,Thermal / gravimetric,Required,1,36 x 30 DEDICATED BALANCE TABLE - BAL01,Dedicated stable/anti-vibration balance table,,,,36,30,36,30,,Supports B-EQ-BAL01,,,,,"Near desiccator bench but isolated from heat, vibration, traffic and drafts",Planning allowance - final balance table/GWP selection required,METTLER TOLEDO analytical-balance guidance,https://www.mt.com/us/en/home/products/Laboratory_Weighing_Solutions/analytical-balances.html,"A Uline bench may be evaluated, but this schedule reserves a dedicated stable surface.",SCENARIO B - FURNITURE,Yes,,7.5,7.5,7.5,REQ,REVIEW
B-T-CLEAN01,Furniture,Clean general analysis,Required,1,96 x 36 CLEAN BENCH - UV-VIS + POLARIMETER,"Uline-style phenolic lab workbench, open frame",,,,96,36,96,36,,Supports B-EQ-MIN03 and B-EQ-STARCHG2 with shared clean work surface,,,,,Central/east clean zone; ceiling power/data if near windows,Source-verified standard furniture module,Uline Lab Workbenches,https://www.uline.com/BL_3509/Lab-Workbenches,Keep both instrument blocks individually movable and leave central work space.,SCENARIO B - FURNITURE,Yes,,24.0,24.0,24.0,REQ,
B-T-CLEAN02,Furniture,Clean general analysis,Required,1,60 x 30 CLEAN BENCH - COLOR + DENSITY,Uline-style phenolic lab workbench,,,,60,30,60,30,,Supports B-EQ-COLOR01 and B-EQ-DENS01,,,,,Clean low-dust zone with cup/cylinder storage,Source-verified standard furniture module,Uline Lab Workbenches,https://www.uline.com/BL_3509/Lab-Workbenches,Open or cabinet version may be selected after storage review.,SCENARIO B - FURNITURE,Yes,,12.5,12.5,12.5,REQ,
B-T-BAL02,Furniture,Clean general analysis,Required,1,36 x 30 DEDICATED BALANCE TABLE - BAL02,Dedicated stable/anti-vibration balance table,,,,36,30,36,30,,Supports B-EQ-BAL02,,,,,Accessible to Soxhlet and analytical prep but outside hood/solvent/sink zone,Planning allowance - final balance table/GWP selection required,METTLER TOLEDO analytical-balance guidance,https://www.mt.com/us/en/home/products/Laboratory_Weighing_Solutions/analytical-balances.html,"Keep away from AS200, mills and direct HVAC or window temperature effects.",SCENARIO B - FURNITURE,Yes,,7.5,7.5,7.5,REQ,REVIEW
B-T-LECO01,Furniture,Clean instrument,Required,1,96 x 36 DEDICATED LECO BENCH,"Uline-style 96 x 36 phenolic lab workbench, open frame",,,,96,36,96,36,,Supports LECO configuration and on-bench monitor/PC section,,,,,Clean instrument zone with gas/exhaust/power route and service access,Source-verified bench module; LECO must approve suitability,Uline Lab Workbenches,https://www.uline.com/BL_3509/Lab-Workbenches,Do not use bottom cabinets until LECO utility/service access is confirmed.,SCENARIO B - FURNITURE,Yes,,24.0,24.0,24.0,REQ,
