settings_family,safe_route,display_sequence,section_label,field_label,field_occurrence,control_type,checked_state,value_capture_state,safe_value,redaction_reason,capture_status
general,/settings/general,40,General Settings ,Enable Copy Dynamic Spreadsheets,1,checkbox,true,captured_boolean,,,captured
general,/settings/general,41,General Settings ,Enable Bulk Assays/Panels Assignment,1,checkbox,true,captured_boolean,,,captured
general,/settings/general,42,General Settings ,Automatically check [truncated by accessible label],1,checkbox,false,captured_boolean,,,captured
general,/settings/general,43,General Settings ,Restrict list of Assays to add to a Batch based on selected Tests.,1,checkbox,true,captured_boolean,,,captured
general,/settings/general,44,General Settings ,Auto associate a Source to a Customer when the Source is associated to a Sample on an Order.,1,checkbox,false,captured_boolean,,,captured
general,/settings/general,45,General Settings ,Enable attachment previews,1,checkbox,true,captured_boolean,,,captured
general,/settings/general,46,General Settings ,Enable Unique Sub Sample Sources,1,checkbox,false,captured_boolean,,,captured
general,/settings/general,47,Due Dates ,Due Dates ,1,heading,,not_applicable,,,captured
general,/settings/general,48,Due Dates ,Enable,1,checkbox,true,captured_boolean,,,captured
general,/settings/general,49,Due Dates ,New Year's Day,1,checkbox,true,captured_boolean,,,captured
general,/settings/general,50,Due Dates ,Martin Luther King Jr. Day,1,checkbox,false,captured_boolean,,,captured
general,/settings/general,51,Due Dates ,President's Day,1,checkbox,true,captured_boolean,,,captured
general,/settings/general,52,Due Dates ,Memorial Day,1,checkbox,true,captured_boolean,,,captured
general,/settings/general,53,Due Dates ,4th of July,1,checkbox,true,captured_boolean,,,captured
general,/settings/general,54,Due Dates ,Labor Day,1,checkbox,true,captured_boolean,,,captured
general,/settings/general,55,Due Dates ,Columbus Day,1,checkbox,false,captured_boolean,,,captured
general,/settings/general,56,Due Dates ,Veterans Day,1,checkbox,false,captured_boolean,,,captured
general,/settings/general,57,Due Dates ,Thanksgiving,1,checkbox,true,captured_boolean,,,captured
general,/settings/general,58,Due Dates ,Christmas,1,checkbox,true,captured_boolean,,,captured
general,/settings/general,59,Modules ,Modules ,1,heading,,not_applicable,,,captured
general,/settings/general,60,Modules ,"QBench Core (Includes Orders, Tests, Assays, and Customers)",1,checkbox,true,captured_boolean,,,captured
general,/settings/general,61,Modules ,Sources,1,checkbox,true,captured_boolean,,,captured
general,/settings/general,62,Modules ,Batches,1,checkbox,true,captured_boolean,,,captured
general,/settings/general,63,Modules ,Controls,1,checkbox,true,captured_boolean,,,captured
general,/settings/general,64,Modules ,Deviations,1,checkbox,true,captured_boolean,,,captured
general,/settings/general,65,Modules ,Protocols,1,checkbox,true,captured_boolean,,,captured
general,/settings/general,66,Modules ,Projects,1,checkbox,false,captured_boolean,,,captured
general,/settings/general,67,Modules ,Epics,1,checkbox,false,captured_boolean,,,captured
general,/settings/general,68,Modules ,Panels,1,checkbox,true,captured_boolean,,,captured
general,/settings/general,69,Modules ,Analytics,1,checkbox,true,captured_boolean,,,captured
general,/settings/general,70,Modules ,QMS - Issues,1,checkbox,true,captured_boolean,,,captured
general,/settings/general,71,Modules ,QMS - Equipment,1,checkbox,true,captured_boolean,,,captured
general,/settings/general,72,Modules ,QMS - Logs,1,checkbox,true,captured_boolean,,,captured
general,/settings/general,73,Modules ,QMS - Documents,1,checkbox,true,captured_boolean,,,captured
general,/settings/general,74,Modules ,QMS - Training,1,checkbox,true,captured_boolean,,,captured
general,/settings/general,75,Search Settings ,Search Settings ,1,heading,,not_applicable,,,captured
general,/settings/general,76,Comments Settings ,Comments Settings ,1,heading,,not_applicable,,,captured
general,/settings/general,77,Frequency Settings ,Frequency Settings ,1,heading,,not_applicable,,,captured
general,/settings/general,78,Rush Turnaround Settings ,Rush Turnaround Settings ,1,heading,,not_applicable,,,captured
general,/settings/general,79,Tax Rates ,Tax Rates ,1,heading,,not_applicable,,,captured
general,/settings/general,80,Follower Settings ,Follower Settings ,1,heading,,not_applicable,,,captured
general,/settings/general,81,Public Report Configuration ,Public Report Configuration ,1,heading,,not_applicable,,,captured
general,/settings/general,82,Help Center ,Help Center ,1,heading,,not_applicable,,,captured
general,/settings/general,83,Help Center ,Enable,2,checkbox,false,captured_boolean,,,captured
customer_portal,/settings/customerportal,1,Customer Portal Settings,Customer Portal Settings,1,heading,,not_applicable,,,structure_only
customer_portal,/settings/customerportal,2,Customer Portal Appearance ,Customer Portal Appearance ,1,heading,,not_applicable,,,structure_only
customer_portal,/settings/customerportal,3,Enabled Views ,Enabled Views ,1,heading,,not_applicable,,,structure_only
customer_portal,/settings/customerportal,4,Order Requests ,Order Requests ,1,heading,,not_applicable,,,structure_only
customer_portal,/settings/customerportal,5,Portal Email ,Portal Email ,1,heading,,not_applicable,,,structure_only
customer_portal,/settings/customerportal,6,Portal Email ,Company Name,1,textbox,,omitted_sensitive_or_branding_value,,values deliberately omitted,structure_only
customer_portal,/settings/customerportal,7,Portal Email ,"Only letters, numbers, spaces, and common punctuation (&, ', ., -, comma, parentheses, /) can be used",1,textbox,,omitted_sensitive_or_branding_value,,values deliberately omitted,structure_only
customer_portal,/settings/customerportal,8,Portal Email ,Email Subject,1,textbox,,omitted_sensitive_or_branding_value,,values deliberately omitted,structure_only
customer_portal,/settings/customerportal,9,Portal Email ,Reply-to Email,1,textbox,,omitted_sensitive_or_branding_value,,values deliberately omitted,structure_only
customer_portal,/settings/customerportal,10,Custom Portal Invite Email ,Custom Portal Invite Email ,1,heading,,not_applicable,,,structure_only
customer_portal,/settings/customerportal,11,Security Settings ,Security Settings ,1,heading,,not_applicable,,,structure_only
